Date,Open,Close,Trade_Signal,Portfolio_Exposure,Next_Day_Open
2015-01-02,2058.89990234375,2058.199951171875,Buy,1.0,2054.43994140625
2015-01-05,2054.43994140625,2020.5799560546875,Sell,0.0,2022.1500244140625
2015-01-06,2022.1500244140625,2002.6099853515625,,0.0,2005.550048828125
2015-01-07,2005.550048828125,2025.9000244140625,,0.0,2030.6099853515625
2015-01-08,2030.6099853515625,2062.139892578125,Buy,2.0,2063.449951171875
2015-01-09,2063.449951171875,2044.81005859375,Sell,1.0,2046.1300048828125
2015-01-12,2046.1300048828125,2028.260009765625,Sell,0.0,2031.5799560546875
2015-01-13,2031.5799560546875,2023.030029296875,,0.0,2018.4000244140625
2015-01-14,2018.4000244140625,2011.27001953125,,0.0,2013.75
2015-01-15,2013.75,1992.6700439453125,,0.0,1992.25
2015-01-16,1992.25,2019.4200439453125,,0.0,2020.760009765625
2015-01-20,2020.760009765625,2022.550048828125,,0.0,2020.18994140625
2015-01-21,2020.18994140625,2032.1199951171875,,0.0,2034.300048828125
2015-01-22,2034.300048828125,2063.14990234375,Buy,2.0,2062.97998046875
2015-01-23,2062.97998046875,2051.820068359375,Sell,1.0,2050.419921875
2015-01-26,2050.419921875,2057.090087890625,Buy,2.0,2047.8599853515625
2015-01-27,2047.8599853515625,2029.550048828125,Sell,0.0,2032.3399658203125
2015-01-28,2032.3399658203125,2002.1600341796875,,0.0,2002.449951171875
2015-01-29,2002.449951171875,2021.25,,0.0,2019.3499755859375
2015-01-30,2019.3499755859375,1994.989990234375,,0.0,1996.6700439453125
2015-02-02,1996.6700439453125,2020.8499755859375,,0.0,2022.7099609375
2015-02-03,2022.7099609375,2050.030029296875,Buy,1.0,2048.860107421875
2015-02-04,2048.860107421875,2041.510009765625,,1.0,2043.449951171875
2015-02-05,2043.449951171875,2062.52001953125,,1.0,2062.280029296875
2015-02-06,2062.280029296875,2055.469970703125,,1.0,2053.469970703125
2015-02-09,2053.469970703125,2046.739990234375,,1.0,2049.3798828125
2015-02-10,2049.3798828125,2068.590087890625,Buy,2.0,2068.550048828125
2015-02-11,2068.550048828125,2068.530029296875,,2.0,2069.97998046875
2015-02-12,2069.97998046875,2088.47998046875,,2.0,2088.780029296875
2015-02-13,2088.780029296875,2096.989990234375,,2.0,2096.469970703125
2015-02-17,2096.469970703125,2100.340087890625,,2.0,2099.159912109375
2015-02-18,2099.159912109375,2099.679931640625,,2.0,2099.25
2015-02-19,2099.25,2097.449951171875,,2.0,2097.64990234375
2015-02-20,2097.64990234375,2110.300048828125,,2.0,2109.830078125
2015-02-23,2109.830078125,2109.659912109375,,2.0,2109.10009765625
2015-02-24,2109.10009765625,2115.47998046875,,2.0,2115.300048828125
2015-02-25,2115.300048828125,2113.860107421875,,2.0,2113.909912109375
2015-02-26,2113.909912109375,2110.739990234375,,2.0,2110.8798828125
2015-02-27,2110.8798828125,2104.5,,2.0,2105.22998046875
2015-03-02,2105.22998046875,2117.389892578125,,2.0,2115.760009765625
2015-03-03,2115.760009765625,2107.780029296875,,2.0,2107.719970703125
2015-03-04,2107.719970703125,2098.530029296875,,2.0,2098.5400390625
