Date,Adj_Close,Index_Returns,Training Regime,Recursive_Predictions,Recursive_Predicted_Regime_Label,T2_Recursive_Predictions,T2_Recursive_Predicted_Regime_Label,Full_Vol_Regime,State_Prob_Regime0,State_Prob_Regime1,Predicted_Regime,Predicted_Regime_Label,Blended_Test_Training_Regime
2015-01-05 00:00:00,2020.5799560546875,-0.018278105145113743,,0.0,Low Volatility,,,1.0,0.9144973052026438,0.08550269479735599,0.0,Low Volatility,0.0
2015-01-06 00:00:00,2002.6099853515625,-0.008893471722946522,,0.0,Low Volatility,0.0,Low Volatility,1.0,0.9070668101642839,0.09293318983571584,0.0,Low Volatility,0.0
2015-01-07 00:00:00,2025.9000244140625,0.01162984267174294,,0.0,Low Volatility,0.0,Low Volatility,1.0,0.9000022249465186,0.09999777505348115,0.0,Low Volatility,0.0
2015-01-08 00:00:00,2062.139892578125,0.017888280629516196,,0.0,Low Volatility,0.0,Low Volatility,1.0,0.8932855305619027,0.10671446943809704,0.0,Low Volatility,0.0
2015-01-15 00:00:00,1992.6700439453125,-0.009247875921837956,,0.0,Low Volatility,1.0,High Volatility,1.0,0.8643494823190319,0.1356505176809679,0.0,Low Volatility,0.0
2015-01-16 00:00:00,2019.4200439453125,0.013424199395820402,,0.0,Low Volatility,0.0,Low Volatility,1.0,0.8593884836977775,0.14061151630222218,0.0,Low Volatility,0.0
2015-01-21 00:00:00,2032.1199951171875,0.004731623968765364,,0.0,Low Volatility,1.0,High Volatility,1.0,0.8501873593105624,0.1498126406894372,0.0,Low Volatility,0.0
2015-01-22 00:00:00,2063.14990234375,0.015269721916580492,,0.0,Low Volatility,0.0,Low Volatility,1.0,0.8459237650832974,0.1540762349167023,0.0,Low Volatility,0.0
2015-01-26 00:00:00,2057.090087890625,0.002568460857030219,,0.0,Low Volatility,0.0,Low Volatility,1.0,0.8380161110368709,0.16198388896312887,0.0,Low Volatility,0.0
2015-01-27 00:00:00,2029.550048828125,-0.013387862410411011,,0.0,Low Volatility,0.0,Low Volatility,1.0,0.8343518818921806,0.16564811810781915,0.0,Low Volatility,0.0
2015-01-28 00:00:00,2002.1600341796875,-0.013495609366348305,,0.0,Low Volatility,0.0,Low Volatility,1.0,0.8308680952916315,0.16913190470836814,0.0,Low Volatility,0.0
2015-02-04 00:00:00,2041.510009765625,-0.0041560462088314765,,1.0,High Volatility,1.0,High Volatility,0.0,0.8158596683231152,0.18414033167688457,0.0,Low Volatility,0.0
2015-02-05 00:00:00,2062.52001953125,0.010291406686777416,,1.0,High Volatility,1.0,High Volatility,0.0,0.8132865185663459,0.1867134814336538,0.0,Low Volatility,0.0
2015-02-06 00:00:00,2055.469970703125,-0.0034181723141418763,,1.0,High Volatility,1.0,High Volatility,0.0,0.8108400818698778,0.18915991813012198,0.0,Low Volatility,0.0
