Date,Adj_Close,Index_Returns,Training Regime,Recursive_Predictions,Recursive_Predicted_Regime_Label,Full_Vol_Regime,State_Prob_Regime0,State_Prob_Regime1,Predicted_Regime,Predicted_Regime_Label,Blended_Test_Training_Regime
2015-08-09 00:00:00,2091.5400390625,0.006724187509187907,,0.0,Low Volatility,1.0,0.7618428503325145,0.2381571496674851,0.0,Low Volatility,0.0
2015-08-16 00:00:00,1970.8900146484375,-0.0576847787566821,,0.0,Low Volatility,1.0,0.7617144982975724,0.23828550170242718,0.0,Low Volatility,0.0
2015-09-27 00:00:00,1951.3599853515625,0.01036587026911473,,1.0,High Volatility,0.0,0.7611178527556357,0.23888214724436385,0.0,Low Volatility,0.0
2015-10-11 00:00:00,2033.1099853515625,0.009042662661814749,,1.0,High Volatility,0.0,0.7609717849926447,0.2390282150073548,0.0,Low Volatility,0.0
2015-11-01 00:00:00,2099.199951171875,0.009541321716803886,,0.0,Low Volatility,1.0,0.7607900538478447,0.23920994615215482,0.0,Low Volatility,0.0
2015-11-08 00:00:00,2023.0400390625,-0.036280446780145414,,0.0,Low Volatility,1.0,0.7607380416382324,0.23926195836176706,0.0,Low Volatility,0.0
2015-11-15 00:00:00,2089.169921875,0.032688370736915884,,0.0,Low Volatility,1.0,0.7606898009106251,0.23931019908937431,0.0,Low Volatility,0.0
2015-11-29 00:00:00,2091.68994140625,0.0007558616068910062,,0.0,Low Volatility,1.0,0.76060355982867,0.23939644017132936,0.0,Low Volatility,0.0
2015-12-06 00:00:00,2012.3699951171875,-0.03792146470606228,,0.0,Low Volatility,1.0,0.7605650705753519,0.2394349294246474,0.0,Low Volatility,0.0
2016-01-03 00:00:00,1922.030029296875,-0.05964456667229656,,0.0,Low Volatility,1.0,0.760437071263161,0.23956292873683832,0.0,Low Volatility,0.0
2016-02-07 00:00:00,1864.780029296875,-0.008122134589325536,,1.0,High Volatility,0.0,0.7603228026020685,0.23967719739793067,0.0,Low Volatility,0.0
2016-02-14 00:00:00,1917.780029296875,0.02842158279654239,,1.0,High Volatility,0.0,0.7603046714691953,0.23969532853080386,0.0,Low Volatility,0.0
2016-02-21 00:00:00,1948.050048828125,0.015783885048770818,,1.0,High Volatility,0.0,0.7602878550514991,0.23971214494850013,0.0,Low Volatility,0.0
2016-02-28 00:00:00,1999.989990234375,0.02666252924943846,,1.0,High Volatility,0.0,0.7602722580170439,0.2397277419829554,0.0,Low Volatility,0.0
2016-03-06 00:00:00,2022.18994140625,0.011100031140292677,,1.0,High Volatility,0.0,0.760257791946553,0.23974220805344632,0.0,Low Volatility,0.0
2018-01-21 00:00:00,2872.8701171875,0.02226455085657708,,0.0,Low Volatility,1.0,0.7600728733263763,0.23992712667362182,0.0,Low Volatility,0.0
2018-01-28 00:00:00,2762.1298828125,-0.03854689904443476,,0.0,Low Volatility,1.0,0.7600728649337752,0.23992713506622285,0.0,Low Volatility,0.0
2018-02-04 00:00:00,2619.550048828125,-0.05161952552325133,,0.0,Low Volatility,1.0,0.760072857149734,0.239927142850264,0.0,Low Volatility,0.0
2018-04-01 00:00:00,2604.469970703125,-0.013783391408563772,,1.0,High Volatility,0.0,0.7600728121071217,0.23992718789287618,0.0,Low Volatility,0.0
2018-04-08 00:00:00,2656.300048828125,0.019900432221534592,,1.0,High Volatility,0.0,0.760072808153619,0.2399271918463788,0.0,Low Volatility,0.0
2018-04-15 00:00:00,2670.139892578125,0.0052101959475947535,,1.0,High Volatility,0.0,0.7600728044867906,0.23992719551320713,0.0,Low Volatility,0.0
2018-04-22 00:00:00,2669.909912109375,-8.613049428207731e-05,,1.0,High Volatility,0.0,0.7600728010858494,0.23992719891414832,0.0,Low Volatility,0.0
2018-10-07 00:00:00,2767.1298828125,-0.0410456799665293,,0.0,Low Volatility,1.0,0.760072764728097,0.23992723527190038,0.0,Low Volatility,0.0
2018-10-14 00:00:00,2767.780029296875,0.00023495336753542873,,0.0,Low Volatility,1.0,0.7600727642101173,0.2399272357898801,0.0,Low Volatility,0.0
2018-10-21 00:00:00,2658.68994140625,-0.03941429114160422,,0.0,Low Volatility,1.0,0.760072763729697,0.23992723627030035,0.0,Low Volatility,0.0
